episode_id,return,cost,peak_load
0,-1619.338255,120.482802,32.762000
1,-1463.940079,116.299755,29.798000
2,-1194.973171,104.799947,26.980039
3,-1492.839984,96.505576,42.138000
4,-1335.883736,119.680947,31.704000
5,-1258.715591,126.416554,31.468000
6,-1314.245341,122.843444,26.940000
7,-1994.642050,108.755575,39.541874
8,-1130.013794,116.766985,32.712000
9,-1428.467814,103.746037,31.101366
10,-1011.193089,85.294306,23.549667
11,-1089.873450,109.823968,23.726000
12,-1411.100493,107.453179,28.018332
13,-1181.711589,98.338155,32.128083
14,-1114.529846,103.765636,28.276000
15,-1108.015675,85.382640,20.404000
16,-1330.230040,89.218342,27.718000
17,-1442.106671,81.885915,28.984000
18,-1321.815465,110.605492,29.796000
19,-1010.539663,95.605335,28.528000
20,-1221.577322,112.767549,21.998000
21,-1180.699578,89.798357,24.964332
22,-1283.187498,96.157743,26.580276
23,-1180.028102,86.292821,26.890000
24,-1031.884150,80.271080,22.732083
25,-1012.876495,102.032733,28.306000
26,-1059.945210,108.617838,23.614000
27,-1281.459133,104.163497,22.912249
28,-1118.000692,87.656035,29.084000
29,-1057.272075,91.240811,22.242000
30,-1156.276921,83.808462,20.290000
31,-1076.977773,81.619082,25.284000
32,-1048.547308,107.473582,23.806000
33,-946.553636,102.831299,24.992000
34,-1007.222550,96.295465,24.468000
35,-998.834946,75.899117,20.576000
36,-1069.524329,87.636338,19.492566
37,-1052.672683,85.447230,24.630000
38,-1085.188074,85.014720,24.138000
39,-1089.752287,95.811140,24.106000
40,-1142.957066,90.214934,27.668000
41,-1103.247648,100.128151,28.382122
42,-1142.460632,82.108447,21.504700
43,-1078.328792,94.297410,22.194000
44,-1085.325452,75.265447,28.930000
45,-1176.839225,84.580822,29.467048
46,-1293.295050,100.333133,34.012537
47,-1158.928128,95.022459,20.686288
48,-1092.647201,106.245252,20.686000
49,-1137.255236,95.987673,32.776000
50,-974.901733,92.365357,21.320000
51,-1112.745650,77.591002,26.426039
52,-1161.443323,65.867388,18.346000
53,-1113.699395,107.187210,23.144166
54,-1062.229297,98.457840,23.528000
55,-1086.271909,94.088631,21.896000
56,-1058.899173,87.279229,24.159789
57,-1141.612721,93.826742,20.712000
58,-1241.803565,85.561567,25.232000
59,-1183.268770,76.381732,23.384000
60,-1054.460883,96.670708,24.326000
61,-1166.005986,100.039143,21.240166
62,-1056.255526,97.397047,22.300446
63,-1247.758432,85.186771,24.800000
64,-1175.500212,88.137723,21.069850
65,-1119.114258,82.954080,21.100000
66,-1238.847786,69.950285,24.962166
67,-1121.531198,94.364584,20.616168
68,-1196.358196,95.772814,22.197000
69,-965.659079,83.103846,21.570956
70,-1200.385276,75.093411,26.800000
71,-1137.473845,82.973181,19.426166
72,-1142.431760,73.122589,21.354000
73,-1122.338164,70.344752,21.284000
74,-1063.268747,91.353461,24.706000
75,-1037.192543,89.471652,26.422083
76,-1077.093012,91.484262,23.368323
77,-1128.571090,80.484836,32.334000
78,-1036.677790,85.751368,24.242000
79,-1270.771244,69.527863,26.558000
80,-1092.192007,64.571250,20.340205
81,-1050.529299,90.092074,22.966000
82,-1038.943219,85.504225,32.492000
83,-1066.410111,83.117754,25.998000
84,-1207.455541,69.155404,19.476000
85,-986.587139,79.732832,23.042000
86,-1055.229075,70.917002,21.864249
87,-983.804752,59.762336,18.684000
88,-1030.296448,82.324070,18.354000
89,-920.888208,88.239449,28.092000
90,-986.260062,83.857318,27.798000
91,-1049.598501,69.807423,18.100000
92,-1055.100722,83.616863,17.768621
93,-895.457655,66.054374,18.508000
94,-886.663686,61.084461,19.885956
95,-992.181903,89.577712,22.997873
96,-894.090218,85.355923,21.014166
97,-1005.681959,78.681909,19.496000
98,-891.659179,71.440394,16.770083
99,-1000.474280,72.123591,18.709956
100,-1004.726796,66.449009,17.508000
101,-943.036403,59.725518,18.856039
102,-919.359277,79.654380,20.012000
103,-864.777425,79.220389,18.592000
104,-840.240691,70.937172,17.496000
105,-865.027491,63.132922,21.672000
106,-879.982750,71.443577,17.538166
107,-937.109319,52.442096,16.960000
108,-1006.434949,56.050808,24.730000
109,-888.369516,76.974442,18.966000
110,-861.659530,68.753871,17.728000
111,-842.331103,78.150931,22.068000
112,-902.895777,55.708111,23.676000
113,-993.979780,73.017440,16.620000
114,-939.003554,59.128126,20.530000
115,-953.454107,54.557716,18.584000
116,-967.347183,70.928391,21.966166
117,-796.970113,70.643456,20.214166
118,-889.739359,70.014333,17.302000
119,-945.898346,56.217540,18.829873
120,-828.905298,66.023465,24.054000
121,-966.591125,57.551973,18.630000
122,-1011.356088,57.570768,21.294000
123,-1051.474634,78.530762,17.966000
124,-966.819528,78.324342,19.092000
125,-878.381936,63.269926,20.504000
126,-1078.097898,57.690138,20.254000
127,-1093.923865,73.801934,27.042000
128,-995.335638,56.421076,23.608000
129,-1017.560941,56.115844,21.584000
130,-866.849268,73.279243,19.606000
131,-998.962584,83.025254,19.092000
132,-959.823162,72.727670,21.698000
133,-1062.309597,61.063638,19.432000
134,-986.225019,74.370245,26.042000
135,-1029.575443,59.252755,18.008000
136,-1148.487353,58.831896,18.184000
137,-941.416875,79.383902,18.281789
138,-934.362505,74.014231,15.522083
139,-980.189397,69.325091,16.568000
140,-996.315666,62.938271,19.176000
141,-978.124161,72.312350,26.014000
142,-1044.277678,57.674349,16.508000
143,-1127.816312,53.610804,17.728571
144,-964.423500,77.365080,13.408944
145,-909.857491,74.474620,17.068000
146,-988.558174,74.702290,17.998000
147,-1004.369584,59.043993,24.176000
