episode_id,return,cost,peak_load
0,-1781.349044,141.314322,40.115568
1,-1644.590713,171.378610,42.019050
2,-1117.593516,134.232863,35.189500
3,-1270.248528,120.302866,27.888000
4,-1261.591997,155.459110,40.426000
5,-1526.861591,142.448798,41.262000
6,-2572.644280,147.572809,38.706000
7,-1744.922645,141.648958,38.364250
8,-1276.010066,150.237476,39.878000
9,-1141.139546,130.006519,45.600000
10,-1139.614229,129.243010,36.274000
11,-1288.491456,163.183652,45.122000
12,-1289.718699,151.777961,44.212000
13,-1818.673463,135.339519,40.456000
14,-1757.700068,125.213365,39.634000
15,-956.642564,157.478813,32.974000
16,-2793.686008,146.341738,49.682000
17,-1574.587353,132.284344,37.254000
18,-1620.568284,163.408084,37.267220
19,-1157.368026,159.241829,37.368000
20,-1901.785086,174.626146,40.954000
21,-1816.621319,148.540142,42.227750
22,-1322.347989,149.171963,46.954000
23,-1192.664584,135.063118,35.329026
24,-2298.348330,118.754073,39.874000
25,-1172.512970,155.971398,42.988000
26,-1757.472199,173.839336,37.124000
27,-1150.387236,134.183610,35.705500
28,-1921.789675,147.710153,36.696000
29,-1429.543676,148.151726,41.580000
30,-1212.277605,128.935185,38.282000
31,-1886.391944,138.203841,40.788000
32,-984.749877,155.234240,34.170000
33,-2517.093195,158.683839,41.012000
34,-2401.724183,152.033811,50.210000
35,-2035.762796,128.557510,42.010000
36,-1659.941058,154.654619,36.106000
37,-1590.788490,148.956883,39.238500
38,-1507.943375,139.423273,39.730000
39,-1392.433204,163.797135,41.633000
40,-1424.575859,142.181093,46.566500
41,-1486.599455,145.750377,37.090000
42,-1077.881892,142.144758,33.500000
43,-1506.100022,152.145956,38.706000
44,-1422.361454,146.149915,38.092000
45,-1268.039594,123.278088,30.756510
46,-1152.343549,143.473061,37.618000
47,-1332.585535,143.386664,37.246000
48,-1677.387924,163.171450,36.963750
49,-2119.223082,155.558477,38.856000
50,-1525.963273,155.509858,40.498000
51,-1545.565045,122.676247,36.454000
52,-1653.854003,119.471740,45.784000
53,-1217.888775,160.577707,35.168000
54,-1960.756045,156.932787,44.000000
55,-1504.138138,142.652970,37.628000
56,-1574.417063,136.825500,44.076000
57,-1379.438634,138.450642,36.016000
58,-1239.223635,136.349235,28.268500
59,-960.020441,121.592058,30.958000
60,-1538.780689,148.193436,35.885668
61,-2089.675383,160.795352,49.916000
62,-1253.493817,148.330472,33.680000
63,-1642.456619,116.424475,35.034000
64,-2117.613658,145.618426,45.202510
65,-2277.230197,131.480253,38.794000
66,-1641.985607,119.341108,41.744000
67,-870.393945,156.089010,40.814000
68,-1732.797364,157.038072,37.812000
69,-1241.345641,136.563269,39.556000
70,-1624.081599,140.873232,32.962000
71,-1492.411548,135.265086,35.244000
72,-1974.336191,129.493749,37.104000
73,-1538.972654,118.614648,40.630000
74,-1089.588959,153.080437,38.974000
75,-1548.861401,142.297921,36.454000
76,-1334.075848,148.060684,37.056000
77,-1823.833575,147.589996,43.051520
78,-2627.609864,141.988336,39.900500
79,-1145.930025,131.392924,40.454000
80,-1972.532212,128.124184,46.424000
81,-904.900110,141.168065,30.511750
82,-1417.181856,153.981080,40.594000
83,-2575.046918,157.671098,47.888791
84,-953.559908,127.149801,35.544000
85,-1668.791688,170.167073,39.306000
86,-1709.349118,150.992051,38.882000
87,-2014.987946,131.693184,42.824000
88,-1053.623780,156.549915,37.726000
89,-1364.774103,154.656198,42.776177
90,-1315.900342,153.743257,47.668000
91,-1674.343607,128.395874,41.218000
92,-782.991645,136.629427,29.814000
93,-1035.086535,140.541016,35.022000
94,-1022.790995,153.273507,33.274000
95,-1196.235645,131.286796,34.194500
96,-1194.807951,144.270971,35.302000
97,-1641.593562,166.281141,37.682000
98,-1275.354719,133.553946,38.940000
99,-1215.161123,145.435803,37.584000
100,-1486.907137,139.229437,37.018000
101,-933.390429,127.832540,36.174000
102,-1121.176098,138.556525,51.314000
103,-1046.960758,156.873666,35.692000
104,-1152.893009,134.723532,45.028000
105,-1278.562183,122.906667,40.476000
106,-1400.874764,139.801138,35.045197
107,-1824.559289,138.946778,45.234000
108,-1213.118070,133.120696,38.830000
