episode_id,return,cost,peak_load
0,-2134.093632,31.437996,33.776200
1,-2346.529880,34.106738,36.031000
2,-2331.640777,18.768741,39.805700
3,-2082.398818,45.512024,38.540000
4,-3017.175381,34.350884,38.700000
5,-3059.542091,42.263343,37.101500
6,-2683.391615,33.085270,30.787800
7,-2922.356320,42.066868,34.820900
8,-2661.924597,36.771907,33.471500
9,-2874.615620,26.614565,50.483000
10,-2474.147408,22.133367,41.342700
11,-2890.514032,33.235368,31.602216
12,-2476.419564,25.735540,33.210500
13,-2736.858925,39.490094,35.004300
14,-2935.450681,42.381894,33.242575
15,-2639.774919,26.641953,42.206600
16,-2841.731513,22.916895,32.017400
17,-2734.683494,20.939914,29.608300
18,-2469.781825,45.630102,38.607800
19,-2693.619253,29.989563,29.632314
20,-2728.014298,40.549397,35.863800
21,-2120.158272,30.690631,36.311648
22,-2654.983510,39.723258,40.375200
23,-2428.492747,35.276288,33.522400
24,-2808.632453,24.154690,41.130200
25,-3138.031428,34.909530,35.900000
26,-2163.056097,38.079172,34.715710
27,-2956.199584,31.923825,36.723100
28,-2548.514430,40.794284,44.213200
29,-2872.928405,41.190518,38.073800
30,-2651.625345,24.840071,42.407075
31,-2539.571209,14.170991,33.862100
32,-2427.122563,34.060590,29.002900
33,-2623.302826,53.594981,42.693100
34,-2460.265556,35.109000,34.777000
35,-2395.327659,40.626857,39.182000
36,-2212.974157,41.638725,35.046300
37,-2980.889187,40.074765,40.223068
38,-2132.087915,36.840183,35.349500
39,-2256.830210,36.277971,29.013019
40,-2664.157437,27.715715,33.254000
41,-2430.822905,39.614140,37.795110
42,-2154.060230,32.899783,35.890800
43,-2283.473297,37.498142,37.304200
44,-2757.465540,43.801476,38.497700
45,-3199.103121,20.523299,40.228300
46,-2728.900784,32.348681,30.809300
47,-2506.111375,28.497413,30.581300
48,-3162.664369,55.501200,48.100300
49,-2558.372454,33.524790,32.016000
50,-2550.193748,41.367424,31.913719
51,-3324.724930,26.984324,40.415500
52,-3200.022904,37.943720,36.000352
53,-2642.508573,33.883036,29.093750
54,-3259.628807,26.955280,38.352700
55,-2239.672866,36.223355,39.369100
56,-2368.724368,38.094084,34.977400
57,-2495.942345,30.849790,36.414900
58,-2817.519251,41.299175,41.088500
59,-2581.658838,40.313576,31.245919
60,-2282.763416,28.469215,36.052696
61,-2366.181876,30.351937,34.593035
62,-2948.243567,35.456944,39.404000
63,-3026.458408,37.055357,32.089700
64,-2624.889904,31.921934,32.091297
65,-2372.312358,38.469326,30.527419
66,-2456.493180,23.427440,36.206700
67,-2090.459752,33.868558,37.500000
68,-2489.153055,35.505008,31.032200
69,-2601.468471,32.492900,39.746100
70,-2471.992794,33.493533,35.377200
71,-2437.399804,37.295035,36.372600
72,-2505.996485,21.012160,29.778937
73,-2737.383544,43.617212,34.128500
74,-2707.410460,35.640885,30.400000
75,-2865.820684,26.847733,40.648700
76,-2715.571379,33.006582,32.806700
77,-2309.244769,35.333854,31.034700
78,-2939.683676,53.946339,41.998100
79,-2778.997184,18.965528,29.097900
80,-2059.549665,34.426789,33.111168
81,-2502.000095,33.181172,31.800000
82,-2328.684079,36.681130,55.219150
83,-2390.444848,34.389043,28.649200
84,-2517.683481,35.518662,41.382600
85,-2705.633986,36.122962,32.749356
86,-2356.885724,35.312431,35.094000
87,-2519.473169,14.717077,29.175200
88,-2606.123127,34.195532,34.400000
89,-2435.601865,36.813469,33.928400
90,-2663.401039,30.809903,35.946900
91,-2473.316794,33.717507,31.492700
92,-2764.700047,35.309192,45.609800
93,-2220.979913,49.587393,50.830000
94,-2384.331895,16.313109,34.686300
95,-2289.304407,32.950398,36.700000
96,-2416.357840,26.343636,32.203700
97,-2573.826709,32.800566,35.056800
98,-3110.215325,47.573944,43.651510
99,-2436.546525,37.361998,38.668400
100,-3186.688294,22.614385,34.710600
101,-2205.386089,38.368313,29.560200
102,-2454.211603,34.720952,31.400000
103,-2055.439312,35.362182,37.343706
104,-3196.784848,37.454078,32.150600
105,-2806.155445,35.685473,37.141400
106,-2610.857317,31.142600,31.394100
107,-2355.406802,19.612746,32.212100
108,-2536.479962,45.984558,39.297300
109,-2242.487483,28.213068,31.600000
110,-2771.794632,41.518902,42.651700
111,-2112.765178,33.748249,48.077200
112,-2287.179886,43.824630,34.343000
113,-2314.011099,37.588547,33.271500
114,-2767.259182,23.203594,39.705900
115,-2349.006552,24.507344,30.717900
116,-2647.258315,37.138998,31.900000
117,-2330.487213,26.791687,43.699200
118,-2743.885964,37.291976,35.946600
119,-2597.822832,41.167371,34.180900
120,-2378.171350,31.786157,44.207300
121,-2810.634848,18.569524,36.396373
122,-2328.303360,18.366676,27.577000
123,-2941.689703,46.994838,43.073190
124,-2655.613777,32.299631,34.528900
125,-2448.400469,35.816343,40.508300
126,-2265.606477,30.148039,35.496300
127,-2676.879819,40.639181,31.278600
128,-2934.346641,35.966972,32.477400
129,-2269.154249,25.200944,33.586100
130,-2976.974996,36.253755,33.417232
131,-2130.754157,34.684437,32.120200
132,-2641.734581,30.773062,34.468110
133,-2819.261375,42.790372,33.918000
134,-3209.400645,39.243548,40.324300
135,-2650.606840,25.900733,45.890418
136,-2155.933504,17.489450,31.399300
137,-2487.025910,30.550360,32.169529
138,-2264.166040,48.500854,43.296450
139,-2871.610424,33.065241,36.891900
140,-2822.238438,39.681840,36.090077
141,-2204.002949,41.224736,41.332000
142,-1881.073103,38.897711,32.785600
143,-2574.332157,34.711452,29.495600
144,-2463.633081,36.996962,29.351018
145,-3022.090166,30.075497,32.820600
146,-2301.875511,38.744444,28.032687
147,-2244.269521,30.048677,34.745100
148,-2873.244793,37.336938,34.135300
149,-2588.714318,40.193157,35.097700
150,-2681.986233,16.294454,30.182700
151,-2464.160530,31.167037,37.800000
152,-2500.007314,28.035172,37.981300
153,-3306.312784,56.044033,46.365000
154,-2283.731504,34.109003,34.808798
155,-2631.773033,40.498336,42.328955
156,-2355.511204,27.727636,34.196400
157,-2445.991641,39.672743,29.684200
158,-2677.181042,32.192621,32.100000
159,-2496.870614,27.773908,31.880500
160,-2071.993587,35.283633,35.269100
161,-2285.057533,39.345707,31.305029
162,-2244.808968,30.939787,33.887857
163,-2676.512833,38.848361,39.693000
164,-2316.617672,37.360341,35.286000
165,-2538.102944,29.641365,27.601200
166,-2926.049859,32.110804,29.679400
167,-2645.757994,37.361656,28.756700
168,-2615.970238,32.073584,39.363500
169,-2732.404619,27.327187,28.949486
170,-2685.503797,39.369475,32.480700
171,-2187.043469,20.602384,32.001602
172,-2256.985897,35.018658,30.300000
173,-3035.101366,37.786314,35.334000
174,-2397.104749,34.384436,34.505800
175,-3096.776094,35.640427,36.911700
176,-2727.055130,36.937235,31.274900
177,-2498.891439,22.085783,29.906632
178,-2252.225408,39.855945,34.959478
179,-2310.081787,34.570028,31.000000
180,-2424.810458,25.961687,35.348700
181,-2491.775906,31.959396,30.520000
182,-2850.527895,33.789368,31.953200
183,-2740.380711,52.288850,44.074100
184,-2989.053346,20.121145,33.714300
185,-2850.400315,38.284108,37.836695
186,-2300.339185,36.067292,34.056510
187,-2301.154653,36.214471,33.763237
188,-2380.025122,37.202403,35.368150
189,-2276.812293,34.598935,39.182600
190,-3426.490639,34.599371,41.235500
191,-2142.281060,36.111423,33.638100
192,-2519.176701,18.947104,28.768221
193,-2254.272003,36.412989,36.900000
194,-2513.230878,37.637164,41.899300
195,-2315.870426,28.539617,35.761500
196,-2500.903845,35.463604,28.971100
197,-2296.603048,34.707875,29.427700
198,-3128.793591,51.854757,43.265240
199,-1949.083008,16.973358,33.864600
200,-2490.539644,31.214497,32.669529
201,-2214.778749,27.174839,31.402100
202,-2694.964041,36.655292,38.912219
203,-2964.190001,51.396840,45.138750
204,-2969.984291,38.477953,46.373300
205,-2469.649774,21.069327,36.936400
206,-2911.880334,40.094424,34.223500
207,-2458.141259,35.561780,38.700000
208,-2834.664626,36.447115,34.228400
209,-2039.628040,40.686530,31.260266
210,-2506.414024,30.574212,34.034500
211,-2584.124272,31.702117,31.863300
212,-2295.854873,18.980817,33.619900
213,-3008.292347,47.323544,39.349000
214,-2725.436555,28.890388,34.000000
215,-3016.825463,40.018622,41.218100
216,-2566.990300,31.071824,47.283236
217,-2179.456925,42.663756,31.358900
218,-2285.014366,34.897301,35.236500
219,-2390.964668,25.307823,36.191278
220,-2188.583926,25.229444,30.116900
221,-2440.132387,32.559696,30.921750
222,-2170.815240,24.845743,34.323900
223,-2502.433714,38.353133,38.595200
224,-1982.286306,43.130365,35.320600
225,-2485.341115,28.343334,38.751400
226,-2595.719475,19.400444,37.245400
227,-2130.931384,18.607542,28.705450
228,-2219.296440,45.785682,38.530000
229,-2593.989434,27.349870,33.136800
230,-2411.109572,38.363860,33.060483
231,-2448.065771,34.943933,38.974600
232,-2383.550151,39.534361,34.840700
233,-2303.892138,32.994278,33.341300
234,-2057.473165,21.242040,40.081900
235,-2879.871397,34.343066,31.200000
236,-2855.168764,37.598472,31.048500
237,-3218.127584,34.249540,33.189100
238,-2563.091159,38.050627,33.405000
239,-2544.763794,38.239204,36.108334
240,-2426.399811,23.504557,48.767600
241,-2946.454842,15.423801,32.904300
242,-2271.568247,31.753464,33.319100
243,-2433.386796,51.215125,37.331200
244,-2453.727910,32.644030,31.091900
245,-1928.543404,40.587844,32.382000
246,-1968.475860,37.941369,35.232000
247,-2872.473647,41.238213,40.322100
248,-3282.745344,37.578867,29.851400
249,-2441.400862,33.532046,34.200000
250,-2265.826483,30.474089,35.036092
251,-2574.744561,39.376588,34.769000
252,-2568.687556,30.430462,32.133100
253,-2298.809905,35.520565,39.629800
254,-2780.564947,38.535447,36.188100
255,-2663.561261,17.749617,31.809700
256,-2471.744149,32.335678,27.529600
257,-2802.232168,25.589096,35.719900
258,-2841.016050,55.384188,46.965477
259,-2753.325511,37.885389,32.506000
260,-2615.815645,40.786125,31.700700
261,-2573.296134,24.766701,37.305600
262,-2871.480827,37.631487,33.593514
263,-2602.793979,30.952444,30.900000
264,-2584.131609,25.149997,37.647900
265,-2865.190865,34.209914,34.406500
266,-2243.605754,37.048467,37.128000
267,-2887.585244,31.896780,34.275900
268,-1982.916972,38.817998,38.879050
269,-2808.118967,40.132865,34.724319
270,-2724.705741,29.074802,27.763158
271,-3319.463221,30.212394,27.655600
272,-2490.209201,36.511655,32.711300
273,-3031.540933,34.391594,38.542500
274,-2335.164059,31.667752,29.040108
275,-2812.942800,38.177823,34.334400
276,-2079.356549,21.702785,27.506700
277,-2903.606649,32.220455,31.600000
278,-2826.604040,35.066385,31.146400
279,-2189.812228,33.913318,32.963000
280,-2786.724203,33.840769,42.865100
281,-2580.569760,36.091926,41.492031
282,-2491.867212,23.060260,31.990100
283,-2273.871691,41.093486,36.320700
284,-2044.309429,34.156629,33.200000
285,-2862.265456,27.934690,28.525050
286,-2897.509049,31.580013,31.451200
287,-1996.838103,33.293198,27.680959
288,-2529.698682,51.124796,35.805089
289,-2541.977569,19.730109,32.985403
290,-2830.955054,39.942612,34.422100
291,-2562.683994,32.266337,33.644832
292,-1857.271090,37.723462,37.340000
293,-2388.667320,34.234483,39.342800
294,-1990.081460,36.636736,30.411100
295,-2600.353241,38.173516,34.229610
296,-2693.649600,36.348492,32.427000
297,-2536.994395,17.087051,37.039600
298,-3252.602037,34.212897,32.700000
299,-2673.096361,39.462691,34.706600
300,-2342.352843,27.384520,35.193800
301,-2931.115624,35.517108,29.474800
302,-2537.509220,34.432712,36.969100
303,-2935.942986,48.266839,51.430000
304,-2647.538762,15.882097,28.683300
305,-2111.348686,32.136143,27.600000
306,-2279.477032,26.449681,27.599350
307,-2095.829768,34.900055,36.310904
308,-2470.217586,46.010388,33.186800
309,-2630.211065,35.810368,43.107700
310,-2346.110821,21.079461,30.990998
311,-1796.815169,34.211791,32.240019
312,-2217.888481,38.049515,31.400000
313,-2520.182240,38.542426,39.426000
314,-2554.770591,36.843461,39.766428
315,-2344.206885,32.140265,34.680700
316,-2226.884007,32.765095,39.571600
317,-2351.994016,20.384118,38.137300
318,-2865.253142,47.979854,41.559069
319,-2174.429016,28.681304,32.064200
320,-2450.154490,40.764455,37.206577
321,-2834.624047,35.327448,43.040804
322,-2657.168736,39.499730,35.498300
323,-1839.064797,36.654496,32.094750
324,-2428.769576,25.714393,38.490600
325,-2618.433739,23.495616,36.620948
326,-3050.680867,32.141276,37.600000
327,-2647.427736,24.605107,34.712100
328,-2814.878005,38.312416,33.242300
329,-2297.206023,40.365193,32.113100
330,-2447.983853,30.532422,27.424400
331,-2720.438571,19.076580,39.833625
332,-2811.211461,18.785332,46.082900
333,-2665.002616,44.905254,31.962750
334,-2452.770778,34.017895,40.094350
335,-2325.916305,39.725944,31.912850
336,-2191.110106,30.612189,27.676917
337,-2666.790873,38.445997,42.851950
338,-2579.953633,34.657652,29.406800
339,-2558.796150,22.434962,33.625487
340,-2558.215041,32.709194,37.800000
341,-2086.363903,35.017446,31.318500
342,-2595.210685,35.721858,33.599900
343,-2835.358115,40.553706,36.412000
344,-2198.905843,40.547061,31.944900
345,-2843.418350,24.823768,45.600500
346,-2595.193283,14.689120,35.547300
347,-2701.234716,32.947164,32.606696
348,-2642.712499,52.062790,41.041619
349,-2687.378348,29.437613,41.101200
350,-2240.330229,39.402471,36.184579
351,-2639.611950,40.439081,36.281432
352,-2946.755197,39.901320,44.414000
353,-3161.468832,35.102094,29.930700
354,-2193.176031,31.406584,36.239709
355,-2656.367159,28.467400,37.951900
356,-3031.053906,38.003870,33.138600
357,-2278.248439,31.998687,36.304800
358,-2665.424747,39.927742,38.521800
359,-2815.508908,39.671488,31.168600
360,-2480.470342,17.345791,30.722600
361,-2443.415355,31.462399,28.510500
362,-2492.172131,29.346439,32.941100
363,-2832.432161,52.241564,41.334029
364,-2901.139055,34.013288,31.785000
365,-2426.840219,37.682454,38.873400
366,-2310.480255,27.030255,36.460100
367,-2296.430217,38.319012,33.354100
368,-2032.259763,35.165350,39.200000
369,-2134.369459,24.473064,32.234400
370,-2238.093035,34.685842,28.781150
371,-2568.686918,35.604212,34.057882
372,-2518.668432,28.127474,29.201700
373,-2857.676132,38.644550,35.420236
374,-2340.847170,38.975245,40.295000
375,-2635.844022,28.971216,32.200000
376,-1995.938413,35.407870,32.511300
377,-2123.694471,35.875288,35.333900
378,-2418.865253,34.239234,32.640500
379,-2507.085167,34.666773,25.754500
380,-2966.488816,43.101409,40.446986
381,-2281.989702,20.118892,33.519710
382,-2523.794933,33.158698,30.500000
383,-2110.205387,33.505918,35.735119
384,-1952.693564,34.674835,37.547700
385,-1982.342608,33.090895,43.419300
386,-2589.799213,36.525648,36.922200
387,-2469.208544,20.517288,26.560500
388,-2750.572235,40.683920,42.344900
389,-2532.817365,32.805070,33.300000
390,-2244.887092,27.392324,35.269232
391,-3001.395138,34.765395,28.030700
392,-2620.481983,34.856187,36.700850
393,-2676.675369,51.851648,38.244150
394,-2098.562156,18.738882,37.294019
395,-2534.964679,38.290685,36.044600
396,-2374.935764,31.036432,35.700000
397,-2313.131595,36.474161,41.600400
398,-2380.897877,38.055659,32.888600
399,-3486.360481,39.375589,32.739900
400,-2683.790589,33.685136,30.437300
401,-2760.221329,38.651817,41.282600
402,-2617.274364,17.840784,39.400950
403,-2361.084806,31.424598,27.000000
404,-2787.808839,40.945614,31.515300
405,-2437.257229,28.733591,34.093800
406,-2678.050171,34.225593,30.100974
407,-2320.094120,32.349322,29.375500
408,-2540.913623,49.970754,43.793100
409,-2648.890165,17.147800,31.836100
410,-3006.850740,32.845873,31.800000
411,-2367.721721,28.420950,33.559229
412,-2318.374052,32.847831,32.202900
413,-3276.432137,49.782620,38.687126
414,-2507.532103,36.987845,36.924700
415,-2508.685588,20.240731,37.708200
416,-1977.216191,35.088539,31.758500
417,-2088.782995,33.572724,32.700000
418,-2298.980540,42.014792,33.581500
419,-2460.033588,38.861545,36.243096
420,-3239.045598,33.583883,30.685000
421,-2347.361474,30.818172,37.383100
422,-2843.107504,17.902441,30.927468
423,-2734.848924,48.057454,38.893450
424,-2660.133952,29.871681,28.100000
425,-2419.226547,39.524976,31.801750
426,-2995.679126,32.459928,31.877200
427,-2608.017262,40.835645,39.622600
428,-2574.143104,33.513875,32.562450
429,-2966.757870,26.699747,39.494100
430,-2360.936163,22.465574,47.128934
431,-2227.135409,35.772434,30.100000
432,-2307.417005,26.027030,28.138500
433,-2544.109438,37.338954,35.348050
434,-2879.875985,43.548384,38.908500
435,-2731.260226,31.855570,29.101400
436,-2198.522156,18.413793,31.284500
437,-2233.377871,18.762595,32.677000
438,-2265.571568,43.826697,33.514510
439,-2301.894568,30.167976,32.968100
440,-2165.845219,37.817746,31.544600
441,-2295.601158,29.873354,31.739900
442,-2418.632171,37.107978,32.692400
443,-2460.171152,36.759145,32.711450
444,-2300.293116,23.403567,38.915850
445,-2169.711489,32.474457,31.400000
446,-2421.047173,35.354648,36.228800
447,-2322.642409,33.669154,39.937300
448,-2599.990593,39.753401,32.018900
449,-2318.821772,39.717234,38.585400
450,-2628.447916,23.636944,48.621900
451,-1896.606072,13.338712,32.085600
452,-2452.399698,29.573641,32.963158
453,-2994.767806,51.308695,40.031200
454,-2103.484031,30.272997,28.501200
455,-2148.841088,40.156915,36.246000
456,-2506.737958,39.290437,35.717461
457,-2833.220110,39.345047,46.403400
458,-2849.516416,33.604666,31.321049
459,-2325.065142,30.837322,35.200000
460,-2221.452314,30.414164,27.408900
461,-2740.940961,39.578428,33.115600
462,-2783.276110,33.067682,46.872600
463,-2413.810108,35.921061,30.632000
464,-2524.294341,41.941766,36.834919
465,-2365.043208,16.352288,30.783389
466,-2594.959709,31.945162,33.727100
467,-2737.295288,27.026732,34.241100
468,-2916.082012,55.762387,51.489300
469,-2189.385070,32.490279,31.231700
470,-2666.803885,39.120732,36.300700
471,-2335.017543,22.417985,38.280600
472,-2421.130984,37.568650,31.881850
473,-2497.260588,36.045028,27.100000
474,-2214.979692,24.545530,31.663000
475,-2228.742082,36.362569,35.399100
476,-2324.340688,36.201800,39.001000
477,-2783.390358,31.257109,32.059850
478,-1936.005920,37.832891,37.235300
479,-1977.526729,37.465937,34.044950
480,-2757.562782,30.046666,38.700000
481,-2236.745104,30.061308,31.964850
482,-2436.113421,32.064397,34.460900
483,-2195.314140,32.432654,34.908819
484,-3044.424945,31.165550,31.215650
485,-2418.295356,37.756437,43.240976
486,-2524.099698,21.375984,50.963200
487,-2155.959356,31.996613,28.163158
488,-2847.973427,34.670221,36.139919
489,-1807.018700,30.392484,35.901368
490,-2301.669535,35.144816,39.011700
491,-2421.266515,32.013345,31.361258
492,-2074.939645,21.132522,31.511550
493,-2933.360933,40.390702,44.257919
494,-2708.334112,33.244157,27.500000
495,-2292.339200,29.374748,31.460850
496,-2633.825257,35.064833,38.096500
497,-2380.318583,33.242237,38.621800
498,-2477.671806,51.752898,49.935300
499,-2529.570499,22.157039,29.766200
500,-3130.470669,37.922890,47.251495
501,-2633.289567,32.747698,41.200000
502,-2343.124814,35.846234,39.896600
503,-2312.181788,35.495877,32.353700
504,-2546.067177,35.938718,36.539685
505,-2514.831023,33.385121,35.019200
506,-2521.290589,36.561662,40.278000
507,-2558.533452,14.706421,30.425100
508,-2305.537635,33.171215,34.900000
509,-2694.775669,37.762868,38.066611
510,-2109.587150,29.123065,34.056800
511,-2726.367793,34.804121,34.939800
512,-2253.705931,34.630524,29.435600
513,-2723.830199,48.106428,36.613250
514,-2491.435334,14.555248,29.136900
515,-3078.849146,33.693166,31.700000
516,-2163.141790,27.301367,32.170550
517,-2630.340671,35.265959,29.243379
518,-3082.747858,47.701847,39.410300
519,-2723.589429,37.038411,34.728950
520,-2609.127416,20.540906,30.959500
521,-2594.976283,34.945896,36.619200
522,-2890.566624,35.734781,31.136389
523,-2271.327187,34.264268,33.414850
524,-2180.801936,38.474811,28.924219
525,-2174.413731,31.576546,32.080650
526,-2544.714140,31.558638,37.287900
527,-2540.233076,18.735103,32.470000
528,-2046.578882,45.752165,35.410600
529,-2753.147333,29.320757,29.615800
530,-2895.891168,39.111391,34.759000
531,-2274.109102,31.806019,39.060887
532,-2214.283907,40.126780,34.903600
533,-2626.742799,31.983372,32.401700
534,-2248.975911,27.835665,32.067100
535,-3052.533302,23.280334,26.582250
536,-2501.721116,33.676496,34.900000
537,-2562.952855,25.422395,29.551100
538,-2506.259117,37.599493,29.104300
539,-3280.226715,45.035091,37.408200
540,-2507.212817,33.421999,30.822100
541,-2826.655160,22.500821,38.221300
542,-2550.899739,18.439297,27.065200
543,-2056.046363,44.725396,37.196497
544,-2483.534843,30.966640,34.669900
545,-2799.478178,38.414188,45.340800
546,-1908.970965,30.343479,30.183515
547,-2048.980826,37.526478,32.583400
548,-2674.592151,33.814365,36.876113
549,-2543.231040,22.056337,38.398621
550,-2438.112817,32.558951,30.600000
551,-2058.796632,33.897111,35.891100
552,-2680.110977,34.823555,35.462700
553,-2811.229964,41.313025,32.813200
554,-2870.299028,38.714863,31.084300
555,-2874.252485,21.774411,47.089400
556,-2586.751271,14.524990,31.862100
557,-2190.153959,29.523256,37.000000
558,-2322.965714,50.673983,53.731200
559,-2684.523935,32.079317,36.137900
560,-2072.500876,37.564398,26.821400
561,-2465.399563,40.381008,42.232000
562,-2715.805968,39.102185,37.109300
563,-2586.720084,35.713950,38.174510
564,-2610.602755,35.060451,32.500000
565,-2272.160919,29.146554,33.117800
566,-2477.683050,40.295267,35.035600
567,-2239.695883,31.050116,33.315640
568,-2720.551923,37.066518,32.858900
569,-2255.748540,40.759815,38.116300
570,-2579.109763,17.514915,35.280000
571,-2202.231851,31.373301,31.700000
572,-2554.797416,26.416038,29.070850
573,-2178.969540,52.440547,43.549510
574,-2466.147192,32.107383,33.106000
575,-2196.132809,37.963072,28.467000
576,-2438.198331,24.839886,31.115500
577,-2220.730474,40.983827,33.322500
578,-2090.643977,33.448294,32.600000
579,-2629.929882,26.381913,26.131500
580,-2643.124085,33.929873,34.381150
581,-2335.962878,36.253347,35.767000
582,-2266.554356,27.646768,36.945700
583,-2843.151418,41.979246,41.153400
584,-2517.520930,39.711406,35.380100
585,-2638.260809,30.958100,27.800000
586,-3025.440255,32.304019,34.370500
587,-2407.456785,34.564821,31.312400
588,-2417.097175,34.943377,33.195800
589,-2068.271652,31.764867,31.535047
590,-2136.283665,37.172676,36.964500
591,-2623.909718,21.655464,47.106700
592,-2200.437394,30.788688,33.200000
593,-2360.960940,36.770830,39.791300
594,-1819.914058,29.935513,27.263729
595,-2382.600854,33.693700,30.050800
596,-2623.280405,32.164506,40.254100
597,-2161.738537,21.443715,29.460500
598,-2237.130674,40.951952,31.232400
599,-2256.800199,30.902878,34.500000
600,-2292.813109,27.412999,37.841023
601,-2363.907306,32.071081,37.026700
602,-2379.362947,34.030695,39.800900
603,-2456.128182,50.670086,45.892200
604,-2345.145072,19.083245,34.356800
605,-2349.919744,37.496569,35.283800
606,-2468.386608,31.328450,29.461000
607,-2128.425698,37.725430,32.776400
608,-2743.177807,36.384705,39.432300
609,-2458.906010,38.959960,36.478800
610,-2412.115207,34.298255,36.262600
611,-2318.679376,36.349698,34.500000
612,-2963.905282,16.697475,24.408132
613,-2415.943729,34.320211,32.100000
614,-1985.028719,39.072422,42.553000
615,-2294.959789,30.309788,29.424400
616,-2230.901106,33.164691,37.818100
617,-2332.904655,33.234449,39.609800
618,-3156.123154,48.846551,46.883641
619,-2209.338194,18.146787,30.593700
620,-2320.235620,31.999951,35.000000
621,-2255.721776,26.063859,30.735500
622,-2495.796358,33.170543,27.515450
623,-3115.274943,46.213481,42.541100
624,-2980.500611,37.393435,39.618900
625,-2691.102067,24.616612,35.243558
626,-2002.402666,32.076650,29.515800
627,-2610.394467,32.068480,32.722429
628,-2552.185920,37.425761,33.932263
629,-2697.952292,39.716895,34.336100
630,-2756.116041,30.993237,30.441400
631,-2970.815895,34.526532,31.574300
632,-2051.322179,16.421491,29.658200
633,-2354.534424,47.290422,39.997300
634,-2141.569643,29.186350,31.400000
635,-2560.620775,40.446037,35.896800
636,-3033.741079,34.147274,32.138900
637,-2766.208908,41.615914,33.366500
638,-2151.033375,34.958186,28.968000
639,-2637.728308,27.000622,38.945585
640,-2329.639299,21.353432,37.227800
641,-2295.742829,31.427430,31.387500
642,-2064.652217,25.163742,33.888500
643,-2710.740871,37.280921,30.651993
644,-2293.039078,40.031709,31.556150
645,-2556.301333,31.209973,34.448600
646,-2514.487732,20.780851,33.467494
647,-2241.416682,17.802917,31.065200
648,-2420.786842,46.087789,46.959100
649,-2900.732188,32.142200,29.642500
650,-2258.883434,36.421750,28.610900
651,-1962.224566,34.173303,34.279700
652,-2681.181759,39.548537,41.362900
653,-2838.538581,32.992126,36.214334
654,-2364.039050,20.783292,36.927800
655,-2415.824055,32.013442,31.843750
656,-2291.592103,36.866739,40.515900
