episode_id,return,cost,peak_load
0,-2958.152573,33.777027,41.634500
1,-2289.341030,34.865794,37.694300
2,-2515.415192,17.626643,36.739450
3,-2208.450671,47.284525,39.279900
4,-2562.917434,31.905577,34.674800
5,-3095.050283,47.469139,45.400978
6,-2784.756231,36.590962,35.137300
7,-3182.554632,45.457205,50.892100
8,-2988.836863,43.004889,36.656300
9,-3096.229046,27.198872,36.891700
10,-2691.744158,28.660613,35.000200
11,-2167.774760,33.921420,38.300000
12,-2071.621411,25.008899,33.221100
13,-2964.998863,42.616239,49.776300
14,-2429.082926,45.709442,50.908500
15,-2055.277029,32.207613,38.206600
16,-2740.513598,24.393110,33.540610
17,-2806.164765,22.715094,39.701200
18,-2857.977027,50.065550,38.207800
19,-2924.586392,36.758973,37.969900
20,-2787.343953,40.705103,50.297500
21,-2233.826307,34.267275,34.170800
22,-2755.051246,41.761424,41.197100
23,-2172.999218,34.608325,35.311435
24,-2501.695054,25.378999,42.086100
25,-2310.862930,39.681587,42.100000
26,-2618.880422,38.718143,37.411300
27,-2346.959118,34.913859,33.064300
28,-3090.414696,40.825949,41.001400
29,-2680.892763,37.997432,37.940700
30,-2794.000871,28.491271,45.089400
31,-2382.159040,19.467269,32.633522
32,-2800.677197,34.853192,45.119300
33,-2727.306126,58.561260,41.974100
34,-2636.991695,32.667813,40.286878
35,-2445.213019,43.162257,40.816600
36,-2501.724993,42.092066,43.494700
37,-2718.386192,44.231982,39.403400
38,-2567.593817,40.967156,41.549500
39,-2552.951550,35.436585,38.000000
40,-2272.776336,31.279188,36.880468
41,-2454.431052,43.206972,40.061500
42,-2651.963019,37.364721,38.692301
43,-2881.379637,43.168629,34.128300
44,-2884.439647,47.266474,45.895800
45,-2488.031231,22.013624,37.222600
46,-2609.236255,38.473830,34.400000
47,-2485.367949,29.298747,32.674500
48,-2583.165645,53.346669,41.923200
49,-2571.496335,38.333582,37.640700
50,-2999.502938,43.854366,40.369500
51,-2844.259040,28.755987,36.461100
52,-2884.462143,47.646363,37.916800
53,-2559.806749,32.536394,27.100000
54,-2536.433386,30.744000,32.203600
55,-2471.985193,38.803479,36.019525
56,-3098.336115,41.336731,41.106200
57,-2273.063752,34.173090,35.283300
58,-3052.171688,41.711246,38.737900
59,-2413.305067,44.289404,33.020039
60,-2593.035830,34.772893,27.714219
61,-2239.751717,33.308478,38.866900
62,-3082.262716,40.562992,46.747300
63,-2863.333420,40.008074,31.995800
64,-2460.752666,37.591200,30.113000
65,-3182.205210,44.575240,43.862600
66,-2774.333402,24.645595,37.808300
67,-2381.063062,37.143318,31.100000
68,-2647.019997,36.468367,43.835400
69,-2408.081298,34.142228,35.047300
70,-2945.448702,39.167146,37.250600
71,-2390.468941,39.942820,32.182400
72,-2892.138478,27.784326,35.181910
73,-3078.619662,45.458025,42.744900
74,-2970.244622,42.061804,37.200000
75,-2539.979844,33.193190,37.253368
76,-2508.956756,33.520391,35.705131
77,-2509.556302,37.618506,34.754200
78,-2977.654719,52.395511,55.182710
79,-3021.317079,27.820325,37.496244
80,-2509.436252,41.619348,32.464800
81,-2874.097306,39.620739,35.000000
82,-2718.223432,45.609919,43.344150
83,-2294.686937,42.528930,35.979461
84,-2625.748967,40.754657,39.315700
85,-2884.789812,40.399537,40.545100
86,-2687.266184,38.941095,35.191212
87,-2689.492906,19.527433,41.901508
88,-2406.737223,40.218233,39.900000
89,-2797.567248,42.896733,37.160700
90,-2352.741013,37.035673,34.441500
91,-2323.519904,39.612490,32.525481
92,-2695.263423,40.302066,34.803900
93,-2556.827985,52.853903,48.416500
94,-2877.648969,17.897511,35.314200
95,-2467.844240,36.526361,35.700000
96,-2720.827096,32.441812,32.528200
97,-2395.050767,41.487472,42.030200
98,-2956.882265,48.180540,46.786367
99,-3100.793561,44.677796,43.568400
100,-2893.336683,30.356283,48.176900
101,-2714.150733,39.877230,34.823500
102,-2213.467436,35.163458,31.200000
103,-2366.804732,41.194034,39.412300
104,-2527.109808,42.940148,47.072800
105,-2787.319572,37.571345,33.171619
106,-2854.170293,34.976268,36.980200
107,-2218.036425,22.384476,33.185000
