initial_soc,initial_credit,mean_peak_load,std_peak_load,mean_total_cost,std_total_cost,mean_agent1_cost,mean_agent2_cost,mean_agent3_cost,mean_cost_std
0.0,10.0,30.8956,1.0006,13.7877,1.6035,5.0624,6.7244,2.0009,1.9639
0.0,20.0,31.8956,1.0006,15.0530,1.3145,4.9360,6.5240,3.5930,1.2052
0.0,30.0,36.4315,0.9594,14.9594,1.4752,4.9300,6.1595,3.8699,0.9454
0.0,40.0,36.4315,0.9594,14.6672,1.4903,4.6033,5.7494,4.3144,0.6221
0.0,50.0,36.4315,0.9594,14.6230,1.2785,4.2181,5.7800,4.6249,0.6748
0.0,60.0,29.8315,0.9594,14.2957,1.7763,3.9292,5.8509,4.5157,0.8227
0.0,70.0,29.8315,0.9594,14.0082,1.6225,3.5645,5.5608,4.8829,0.8389
0.0,80.0,30.8315,0.9594,13.7917,1.5082,3.4553,5.5682,4.7682,0.8805
0.0,90.0,30.8315,0.9594,13.7899,1.3611,3.1955,5.7951,4.7992,1.0761
0.0,100.0,30.8315,0.9594,12.9958,1.5564,2.9201,5.7031,4.3726,1.1370
0.3,10.0,30.8956,1.0006,13.8337,1.3928,5.1122,6.6613,2.0602,1.9151
0.3,20.0,31.8956,1.0006,14.9853,0.9675,5.2285,6.4137,3.3432,1.2932
0.3,30.0,33.9315,0.9594,14.9592,1.5532,4.8543,6.1034,4.0015,0.8688
0.3,40.0,33.9315,0.9594,14.6557,1.4301,4.5693,5.7713,4.3151,0.6472
0.3,50.0,33.9315,0.9594,14.3896,1.4019,4.2121,5.5389,4.6387,0.5599
0.3,60.0,29.4318,0.9311,14.2676,1.3950,4.0077,5.6071,4.6529,0.6620
0.3,70.0,29.4318,0.9311,14.1382,1.5437,3.7052,5.6307,4.8023,0.8148
0.3,80.0,29.5770,1.1007,14.2574,1.2449,3.5449,5.7513,4.9612,0.9161
0.3,90.0,29.6413,0.7765,13.5788,1.5142,3.1595,5.7721,4.6472,1.0965
0.3,100.0,29.0279,1.0594,13.0087,1.5677,2.8084,5.7271,4.4733,1.2077
0.5,10.0,30.8956,1.0006,13.8878,1.2848,5.0372,6.8387,2.0119,2.0052
0.5,20.0,31.8956,1.0006,15.0680,0.8289,5.1091,6.5479,3.4110,1.2878
0.5,30.0,33.9315,0.9594,15.2629,1.6151,5.0074,6.1800,4.0756,0.8666
0.5,40.0,33.9315,0.9594,15.1364,1.6096,4.7300,5.8210,4.5854,0.5633
0.5,50.0,33.9315,0.9594,14.8697,1.4307,4.4175,5.7210,4.7311,0.5647
0.5,60.0,29.4248,0.9263,14.6481,1.4565,3.9512,5.6812,5.0157,0.7441
0.5,70.0,29.4248,0.9263,14.5704,1.6132,3.7228,5.7735,5.0742,0.8675
0.5,80.0,29.0924,1.6052,13.9513,1.3562,3.5181,5.6361,4.7971,0.8754
0.5,90.0,28.4674,0.9155,13.3162,1.6285,3.1351,5.5515,4.6296,0.9988
0.5,100.0,28.3315,0.9594,13.0397,1.4366,2.9683,5.7592,4.3122,1.1428
0.7,10.0,28.8236,1.0006,14.1819,1.4296,5.1347,6.8927,2.1545,1.9601
0.7,20.0,29.8236,1.0006,15.0862,0.7178,5.1981,6.4529,3.4352,1.2741
0.7,30.0,33.9315,0.9594,15.5142,1.4467,5.0244,6.3027,4.1872,0.8748
0.7,40.0,33.9315,0.9594,15.3133,1.3887,4.8231,5.8975,4.5927,0.5846
0.7,50.0,33.9315,0.9594,14.7831,1.5109,4.4472,5.7616,4.5743,0.5927
0.7,60.0,27.3315,0.9594,14.7546,1.3323,4.0660,5.6259,5.0626,0.6581
0.7,70.0,27.3315,0.9594,14.4083,1.5046,3.6568,5.8238,4.9277,0.9058
0.7,80.0,28.3315,0.9594,14.2058,1.7359,3.4938,5.8336,4.8784,0.9640
0.7,90.0,28.3315,0.9594,13.7505,1.4893,3.0624,5.7832,4.9049,1.1453
0.7,100.0,28.3315,0.9594,13.0819,1.6135,2.8394,5.7359,4.5067,1.2027
1.0,10.0,14.5047,0.7710,14.1543,1.4976,5.1115,6.8048,2.2380,1.8916
1.0,20.0,24.6657,1.0006,15.1630,1.4629,5.0768,6.4108,3.6753,1.1247
1.0,30.0,24.1657,1.0006,15.5638,1.4942,5.0444,6.3275,4.1919,0.8831
1.0,40.0,24.1657,1.0006,15.6405,1.1912,4.9810,6.1238,4.5356,0.6768
1.0,50.0,24.0205,1.0294,14.9943,1.1829,4.5885,5.6705,4.7353,0.4950
1.0,60.0,22.2019,0.9311,14.6423,1.2829,4.0620,5.6250,4.9554,0.6621
1.0,70.0,22.2019,0.9311,14.6950,1.3654,3.6836,5.9642,5.0472,0.9497
1.0,80.0,22.5137,1.1971,14.0625,1.5481,3.5290,5.6533,4.8803,0.8809
1.0,90.0,22.7447,1.0110,13.3356,1.6520,3.1333,5.7316,4.4707,1.0617
1.0,100.0,21.7979,1.0594,13.4619,1.1937,3.0541,5.7407,4.6671,1.1043
