initial_soc,initial_credit,episode_id,peak_load,total_cost,agent1_cost,agent2_cost,agent3_cost,cost_std
0.0,10.0,0,31.5851,13.5109,4.8347,6.9160,1.7602,2.1178
0.0,10.0,1,29.4807,11.9769,4.3080,6.2471,1.4218,1.9825
0.0,10.0,2,31.6211,15.8754,6.0446,7.0101,2.8206,1.7913
0.0,20.0,0,32.5851,15.2029,4.7874,6.7625,3.6531,1.2848
0.0,20.0,1,30.4807,13.3734,4.3228,6.0551,2.9956,1.2527
0.0,20.0,2,32.6211,16.5827,5.6979,6.7546,4.1302,1.0781
0.0,30.0,0,37.0956,14.4866,4.6228,6.3054,3.5583,1.1309
0.0,30.0,1,35.0748,13.4361,4.3016,5.5927,3.5418,0.8466
0.0,30.0,2,37.1241,16.9554,5.8655,6.5803,4.5097,0.8587
0.0,40.0,0,37.0956,13.9718,4.1373,6.0488,3.7857,0.9944
0.0,40.0,1,35.0748,13.2918,4.1560,5.2053,3.9304,0.5555
0.0,40.0,2,37.1241,16.7379,5.5167,5.9942,5.2270,0.3163
0.0,50.0,0,37.0956,14.4540,3.8940,6.0487,4.5113,0.9060
0.0,50.0,1,35.0748,13.1485,3.5619,5.3003,4.2864,0.7130
0.0,50.0,2,37.1241,16.2665,5.1985,5.9911,5.0770,0.4053
0.0,60.0,0,30.4956,13.5859,3.4494,6.1393,3.9971,1.1607
0.0,60.0,1,28.4748,12.5638,3.2971,5.4451,3.8216,0.9144
0.0,60.0,2,30.5241,16.7375,5.0410,5.9683,5.7283,0.3930
0.0,70.0,0,30.4956,13.0756,3.1228,5.5803,4.3724,1.0033
0.0,70.0,1,28.4748,12.6588,3.0795,5.0937,4.4856,0.8435
0.0,70.0,2,30.5241,16.2902,4.4911,6.0083,5.7907,0.6698
0.0,80.0,0,31.4956,13.2437,3.1881,5.7020,4.3536,1.0272
0.0,80.0,1,29.4748,12.2806,2.8409,5.0548,4.3849,0.9270
0.0,80.0,2,31.5241,15.8509,4.3368,5.9479,5.5662,0.6874
0.0,90.0,0,31.4956,13.4445,2.7273,6.1757,4.5416,1.4084
0.0,90.0,1,29.4748,12.3226,2.6175,5.2090,4.4961,1.0931
0.0,90.0,2,31.5241,15.6025,4.2418,6.0008,5.3599,0.7269
0.0,100.0,0,31.4956,12.3073,2.4296,5.7748,4.1030,1.3657
0.0,100.0,1,29.4748,11.5295,2.3171,5.2609,3.9514,1.2042
0.0,100.0,2,31.5241,15.1505,4.0136,6.0735,5.0633,0.8410
0.3,10.0,0,31.5851,12.8427,4.6010,6.4846,1.7571,1.9432
