initial_soc,initial_credit,mean_peak_load,std_peak_load,mean_total_cost,std_total_cost,mean_agent1_cost,mean_agent2_cost,mean_agent3_cost,mean_cost_std
0.0,10.0,34.0900,0.0306,27.0070,11.6276,1.4029,18.5945,7.0096,7.1792
0.0,20.0,34.2707,0.2259,29.0028,13.3123,1.4863,19.9168,7.5997,7.6924
0.0,30.0,34.2707,0.2259,24.3165,12.5208,0.7781,18.3587,5.1797,7.5015
0.0,40.0,34.1667,0.1001,25.6198,13.4383,0.4161,19.5491,5.6546,8.0768
0.0,50.0,34.1667,0.1001,28.7814,14.2371,2.6020,19.7657,6.4137,7.3630
0.0,60.0,34.1667,0.1001,27.1651,16.6958,1.6663,19.6786,5.8202,7.7233
0.0,70.0,34.2707,0.2259,28.0002,15.3944,1.2057,21.1786,5.6159,8.5900
0.0,80.0,34.2893,0.1557,26.9046,14.3918,0.9421,20.3195,5.6430,8.3109
0.0,90.0,33.6600,1.2313,29.2940,14.2490,1.9627,20.5793,6.7520,7.8964
0.0,100.0,32.8527,0.8930,27.8579,18.7712,2.7358,20.7008,4.4213,8.1254
0.3,10.0,29.1667,0.1001,27.5129,11.3398,1.9977,19.0257,6.4895,7.2801
0.3,20.0,29.1667,0.1001,25.9753,12.4608,1.2268,19.4181,5.3304,7.8007
0.3,30.0,30.7267,2.0297,25.0119,14.0353,0.6326,19.1199,5.2595,7.8728
0.3,40.0,34.1227,0.4756,26.8957,14.2638,0.9256,20.1296,5.8404,8.1510
0.3,50.0,33.3893,1.0941,26.0386,13.9019,0.6371,19.2820,6.1194,7.8326
0.3,60.0,34.2893,0.3439,28.8201,13.2135,1.2262,20.7576,6.8363,8.2195
0.3,70.0,34.2893,0.1557,27.0485,14.8369,0.7704,20.7268,5.5513,8.5380
0.3,80.0,34.1227,0.2712,28.0502,14.1081,1.3577,19.9743,6.7182,7.8318
0.3,90.0,33.9560,0.4691,28.3074,17.4462,2.5506,19.3367,6.4201,7.2049
0.3,100.0,33.2893,0.3439,28.3826,16.3684,1.6951,19.6361,7.0514,7.5938
0.5,10.0,29.2753,0.1738,26.6965,13.0900,1.6041,18.7180,6.3744,7.2181
0.5,20.0,30.9373,2.5828,25.4094,14.8589,1.0916,18.6229,5.6949,7.4451
0.5,30.0,32.2893,2.1233,25.6428,12.3201,0.5321,19.1966,5.9141,7.8835
0.5,40.0,33.7893,0.5635,24.4808,12.6689,-0.3496,19.3640,5.4664,8.2719
0.5,50.0,33.7893,0.2535,25.7042,13.0142,1.4269,18.3977,5.8796,7.2001
0.5,60.0,34.2893,0.2535,26.1966,15.7845,0.6070,19.9859,5.6038,8.2212
0.5,70.0,34.2893,0.5862,26.1149,13.7071,0.5341,19.9083,5.6725,8.1969
0.5,80.0,33.9560,0.5235,28.1504,15.4564,1.4097,20.4921,6.2486,8.1455
0.5,90.0,33.9560,0.4691,29.1162,14.7338,3.0565,20.5328,5.5269,7.7373
0.5,100.0,33.9560,0.5235,28.2115,16.3669,1.9830,19.8631,6.3655,7.6281
0.7,10.0,29.2893,0.1557,27.1748,10.9442,3.0380,18.8651,5.2717,7.0132
0.7,20.0,29.3333,0.2000,26.9066,11.9834,1.7758,19.3461,5.7847,7.5200
0.7,30.0,33.9560,0.3742,25.3135,13.4127,0.6433,18.6521,6.0180,7.5489
0.7,40.0,34.6227,0.2712,26.4590,13.1105,1.1997,19.6613,5.5980,7.8749
0.7,50.0,33.7893,0.3439,27.8018,12.1390,1.7089,18.8373,7.2557,7.1413
0.7,60.0,33.9560,0.1156,27.6190,13.3710,1.1175,20.2369,6.2645,8.1174
0.7,70.0,34.1227,0.2712,28.1322,15.1516,2.2947,20.1841,5.6534,7.7755
0.7,80.0,33.9560,0.5235,28.1147,16.5595,1.7507,20.7486,5.6154,8.2153
0.7,90.0,33.4560,0.5235,30.0927,15.2931,2.7135,21.3165,6.0628,8.1107
0.7,100.0,33.2893,1.1429,27.1918,17.5490,1.3103,20.3779,5.5037,8.2662
1.0,10.0,24.6628,0.3370,26.5101,11.5458,1.9630,18.9889,5.5582,7.3273
1.0,20.0,24.6628,0.1399,26.0187,11.6184,1.4135,18.7998,5.8055,7.3877
1.0,30.0,24.9962,0.8718,25.2289,12.4902,0.0335,18.5503,6.6451,7.6647
1.0,40.0,26.3295,2.3380,26.5373,13.7846,0.7278,19.2190,6.5904,7.7625
1.0,50.0,29.8295,0.5700,24.5816,14.4934,0.2433,19.2418,5.0965,8.0614
1.0,60.0,30.3295,0.8396,28.2465,13.6619,2.4201,20.4349,5.3914,7.8948
1.0,70.0,29.8295,0.1557,26.3316,16.2786,1.0052,20.0817,5.2446,8.2091
1.0,80.0,29.6628,0.7355,29.0361,16.4908,2.2458,20.9225,5.8678,8.0964
1.0,90.0,29.3295,0.2535,29.1729,15.6781,3.2306,20.2017,5.7406,7.5140
1.0,100.0,29.4962,0.8132,29.8859,16.5035,3.5820,19.4005,6.9034,6.8712
