initial_soc,initial_credit,episode_id,peak_load,total_cost,agent1_cost,agent2_cost,agent3_cost,cost_std
0.0,10.0,0,34.0480,10.6558,-4.4458,14.6832,0.4184,8.1176
0.0,10.0,1,34.1200,36.6921,5.4103,19.7611,11.5207,5.8802
0.0,10.0,2,34.1020,33.6732,3.2443,21.3391,9.0899,7.5398
0.0,20.0,0,34.5900,10.3985,-6.1362,16.0112,0.5235,9.2780
0.0,20.0,1,34.1200,40.8020,5.9162,21.8354,13.0504,6.5106
0.0,20.0,2,34.1020,35.8079,4.6790,21.9039,9.2251,7.2886
0.0,30.0,0,34.5900,6.7068,-4.7750,13.8069,-2.3251,8.2430
0.0,30.0,1,34.1200,34.7271,5.1701,19.6779,9.8791,6.0430
0.0,30.0,2,34.1020,31.5156,1.9393,21.5913,7.9851,8.2184
0.0,40.0,0,34.0900,6.6978,-6.6556,14.8465,-1.4930,9.1650
0.0,40.0,1,34.3080,36.6135,5.0894,21.7721,9.7520,7.0280
0.0,40.0,2,34.1020,33.5482,2.8145,22.0289,8.7048,8.0375
0.0,50.0,0,34.0900,9.0806,-5.7546,15.5610,-0.7258,9.0976
0.0,50.0,1,34.3080,42.2307,7.6794,23.0319,11.5194,6.5233
0.0,50.0,2,34.1020,35.0330,5.8812,20.7042,8.4476,6.4681
0.0,60.0,0,34.0900,3.8548,-8.4193,13.9514,-1.6773,9.3699
0.0,60.0,1,34.3080,42.0757,8.6441,23.0490,10.3826,6.4201
0.0,60.0,2,34.1020,35.5647,4.7741,22.0352,8.7554,7.3798
0.0,70.0,0,34.5900,6.9425,-8.0214,17.0348,-2.0708,10.6888
0.0,70.0,1,34.1200,43.3157,7.1371,23.9584,12.2202,7.0441
0.0,70.0,2,34.1020,33.7425,4.5014,22.5427,6.6983,8.0371
0.0,80.0,0,34.0900,7.7499,-6.0519,17.0172,-3.2154,10.2718
0.0,80.0,1,34.3080,42.4409,7.3349,23.7403,11.3656,6.9803
0.0,80.0,2,34.4700,30.5229,1.5433,20.2008,8.7788,7.6805
0.0,90.0,0,34.5900,10.0903,-6.7278,17.3213,-0.5032,10.1916
0.0,90.0,1,31.9200,44.1839,8.7216,23.5204,11.9419,6.3547
0.0,90.0,2,34.4700,33.6077,3.8943,20.8961,8.8173,7.1429
0.0,100.0,0,34.0480,2.2580,-6.4560,15.2722,-6.5582,10.2670
0.0,100.0,1,32.6080,46.7423,10.0103,24.7182,12.0138,6.5127
0.0,100.0,2,31.9020,34.5733,4.6530,22.1120,7.8082,7.5966
0.3,10.0,0,29.0900,11.6914,-2.9219,14.9615,-0.3482,7.8939
0.3,10.0,1,29.3080,37.6923,5.3096,20.1676,12.2152,6.0708
0.3,10.0,2,29.1020,33.1550,3.6054,21.9480,7.6016,7.8757
0.3,20.0,0,29.0900,8.4137,-4.9264,14.2730,-0.9329,8.2717
0.3,20.0,1,29.3080,36.0213,5.0112,21.1748,9.8354,6.7751
0.3,20.0,2,29.1020,33.4909,3.5955,22.8067,7.0888,8.3555
0.3,30.0,0,33.5900,5.2365,-5.9908,13.8918,-2.6644,8.6954
0.3,30.0,1,29.1200,36.3783,4.3203,22.1428,9.9151,7.4421
0.3,30.0,2,29.4700,33.4208,3.5682,21.3250,8.5276,7.4809
0.3,40.0,0,34.5900,6.9964,-7.7188,16.2718,-1.5566,10.1728
0.3,40.0,1,34.3080,39.7091,6.2544,22.3361,11.1186,6.7339
0.3,40.0,2,33.4700,33.9814,4.2412,21.7809,7.9593,7.5461
0.3,50.0,0,31.8900,7.1034,-5.8524,13.9187,-0.9628,8.4081
0.3,50.0,1,33.8080,40.0875,7.0171,21.8615,11.2088,6.2486
0.3,50.0,2,34.4700,30.9248,0.7466,22.0659,8.1123,8.8410
